address,Hour,Minute,Second,Time,ax,ay,az
0x50,11,4,50.012,0,0.0039,0.001,0.999
0x50,11,4,50.012,0,0.0034,0.0005,1.001
0x50,11,4,50.019,0.007,0.0034,0.0005,1.001
0x50,11,4,50.029,0.017,0.0015,0,1
0x50,11,4,50.039,0.027,0.0015,0,1
0x50,11,4,50.059,0.047,-0.0005,-0.001,0.9985
0x50,11,4,50.059,0.047,-0.0005,-0.001,0.9985
0x50,11,4,50.081,0.069,-0.002,-0.002,1
0x50,11,4,50.085,0.073,-0.002,-0.002,1
0x50,11,4,50.1,0.088,-0.0024,-0.001,1
0x50,11,4,50.106,0.094,-0.0024,-0.001,1
0x50,11,4,50.122,0.11,-0.001,0,1
0x50,11,4,50.125,0.113,-0.001,0,1
0x50,11,4,50.164,0.152,0.001,0.001,0.9995
0x50,11,4,50.164,0.152,0.001,0.001,0.9995
0x50,11,4,50.164,0.152,0.0015,0.0015,1
0x50,11,4,50.165,0.153,0.0015,0.0015,1
0x50,11,4,50.19,0.178,0.0015,0,1.0005
0x50,11,4,50.217,0.205,0.0015,0,1.0005
0x50,11,4,50.241,0.229,0.0005,-0.0005,0.9995
0x50,11,4,50.244,0.232,0.0005,-0.0005,0.9995
0x50,11,4,50.249,0.237,-0.0005,-0.001,0.999
0x50,11,4,50.252,0.24,-0.0005,-0.001,0.999
0x50,11,4,50.254,0.242,-0.001,-0.0015,1
0x50,11,4,50.256,0.244,-0.001,-0.0015,1
0x50,11,4,50.259,0.247,0,-0.0005,1
0x50,11,4,50.261,0.249,0,-0.0005,1
0x50,11,4,50.286,0.274,0.0005,0,0.9995
0x50,11,4,50.286,0.274,0.0005,0,0.9995
0x50,11,4,50.286,0.274,0.001,0.0005,1
0x50,11,4,50.301,0.289,0.001,0.0005,1
0x50,11,4,50.305,0.293,0.001,0.0005,1.0005
0x50,11,4,50.354,0.342,0.001,0.0005,1.0005
0x50,11,4,50.354,0.342,0,0,1
0x50,11,4,50.354,0.342,0,0,1
0x50,11,4,50.358,0.346,-0.0005,0,1
0x50,11,4,50.368,0.356,-0.0005,0,1
