address,Hour,Minute,Second,Time,ax,ay,az
0x50,9,38,47.771,0,0.0005,-0.0278,0.9976
0x50,9,38,47.771,0,-0.001,-0.0361,1.001
0x50,9,38,47.771,0,-0.001,-0.0361,1.001
0x50,9,38,47.806,0.035,-0.0161,-0.0278,0.9995
0x50,9,38,47.806,0.035,-0.0161,-0.0278,0.9995
0x50,9,38,47.806,0.035,-0.0171,-0.0269,1.001
0x50,9,38,47.806,0.035,-0.0171,-0.0269,1.001
0x50,9,38,47.817,0.046,-0.0356,-0.0117,1.0132
0x50,9,38,47.82,0.049,-0.0356,-0.0117,1.0132
0x50,9,38,47.854,0.083,-0.0396,0.0044,1.0049
0x50,9,38,47.89,0.119,-0.0396,0.0044,1.0049
0x50,9,38,47.896,0.125,-0.0405,0.0166,0.9995
0x50,9,38,47.898,0.127,-0.0405,0.0166,0.9995
0x50,9,38,47.9,0.129,-0.0332,0.0317,1.0151
0x50,9,38,47.903,0.132,-0.0332,0.0317,1.0151
0x50,9,38,47.905,0.134,-0.0171,0.0278,1.0127
0x50,9,38,47.908,0.137,-0.0171,0.0278,1.0127
0x50,9,38,47.913,0.142,-0.0073,0.0376,1.0063
0x50,9,38,47.928,0.157,-0.0073,0.0376,1.0063
0x50,9,38,47.931,0.16,0.0034,0.0283,1.019
0x50,9,38,47.957,0.186,0.0034,0.0283,1.019
0x50,9,38,47.994,0.223,-0.0117,0.0176,0.9966
0x50,9,38,47.994,0.223,-0.0117,0.0176,0.9966
0x50,9,38,47.994,0.223,-0.0303,-0.0122,0.9819
0x50,9,38,47.997,0.226,-0.0303,-0.0122,0.9819
0x50,9,38,48.007,0.236,-0.0332,-0.0483,0.9858
0x50,9,38,48.015,0.244,-0.0332,-0.0483,0.9858
0x50,9,38,48.023,0.252,-0.0103,-0.0737,1.0303
0x50,9,38,48.03,0.259,-0.0103,-0.0737,1.0303
0x50,9,38,48.048,0.277,0.0044,-0.0674,1.0137
0x50,9,38,48.05,0.279,0.0044,-0.0674,1.0137
0x50,9,38,48.05,0.279,0.0166,-0.0615,0.9727
0x50,9,38,48.07,0.299,0.0166,-0.0615,0.9727
0x50,9,38,48.074,0.303,0.0112,-0.0366,0.9839
0x50,9,38,48.084,0.313,0.0112,-0.0366,0.9839
0x50,9,38,48.095,0.324,0.0112,-0.041,0.9907
0x50,9,38,48.105,0.334,0.0112,-0.041,0.9907
0x50,9,38,48.112,0.341,0.0078,-0.0405,0.9829
0x50,9,38,48.126,0.355,0.0078,-0.0405,0.9829
0x50,9,38,48.13,0.359,-0.0273,-0.0498,1.0215
0x50,9,38,48.146,0.375,-0.0273,-0.0498,1.0215
0x50,9,38,48.183,0.412,-0.0732,-0.0283,1.0171
0x50,9,38,48.186,0.415,-0.0732,-0.0283,1.0171
0x50,9,38,48.188,0.417,-0.0957,0.0195,1.0024
0x50,9,38,48.19,0.419,-0.0957,0.0195,1.0024
0x50,9,38,48.193,0.422,-0.0737,0.0674,1.0068
0x50,9,38,48.201,0.43,-0.0737,0.0674,1.0068
0x50,9,38,48.226,0.455,-0.0688,0.1177,1.0059
0x50,9,38,48.251,0.48,-0.0688,0.1177,1.0059
0x50,9,38,48.262,0.491,-0.0269,0.1392,1.0361
0x50,9,38,48.265,0.494,-0.0269,0.1392,1.0361
0x50,9,38,48.267,0.496,-0.0039,0.1123,0.9878
0x50,9,38,48.27,0.499,-0.0039,0.1123,0.9878
0x50,9,38,48.272,0.501,-0.0107,0.0649,0.9849
0x50,9,38,48.283,0.512,-0.0107,0.0649,0.9849
0x50,9,38,48.304,0.533,0.0015,-0.0322,1.0225
0x50,9,38,48.304,0.533,0.0015,-0.0322,1.0225
0x50,9,38,48.307,0.536,-0.0088,-0.0439,1.0381
0x50,9,38,48.323,0.552,-0.0088,-0.0439,1.0381
0x50,9,38,48.329,0.558,-0.0337,-0.1309,0.959
0x50,9,38,48.365,0.594,-0.0337,-0.1309,0.959
0x50,9,38,48.372,0.601,-0.0215,-0.0962,1.001
0x50,9,38,48.374,0.603,-0.0215,-0.0962,1.001
0x50,9,38,48.377,0.606,-0.001,-0.1157,0.9722
0x50,9,38,48.381,0.61,-0.001,-0.1157,0.9722
0x50,9,38,48.391,0.62,0.0078,-0.0498,0.9629
0x50,9,38,48.407,0.636,0.0078,-0.0498,0.9629
0x50,9,38,48.41,0.639,0.0142,-0.0557,1.0083
0x50,9,38,48.425,0.654,0.0142,-0.0557,1.0083
0x50,9,38,48.431,0.66,-0.0083,-0.0098,1.0347
0x50,9,38,48.442,0.671,-0.0083,-0.0098,1.0347
0x50,9,38,48.452,0.681,-0.0444,0.0151,1.0059
0x50,9,38,48.46,0.689,-0.0444,0.0151,1.0059
0x50,9,38,48.47,0.699,-0.0874,0.0669,0.9902
0x50,9,38,48.481,0.71,-0.0874,0.0669,0.9902
0x50,9,38,48.493,0.722,-0.1011,0.0981,1.0293
0x50,9,38,48.497,0.726,-0.1011,0.0981,1.0293
0x50,9,38,48.512,0.741,-0.083,0.103,1.0083
0x50,9,38,48.519,0.748,-0.083,0.103,1.0083
0x50,9,38,48.549,0.778,-0.0405,0.1138,0.9878
0x50,9,38,48.551,0.78,-0.0405,0.1138,0.9878
0x50,9,38,48.554,0.783,0.0049,0.0518,0.9956
0x50,9,38,48.558,0.787,0.0049,0.0518,0.9956
0x50,9,38,48.604,0.833,0.0308,0.0322,0.9858
0x50,9,38,48.609,0.838,0.0308,0.0322,0.9858
0x50,9,38,48.612,0.841,0.043,-0.0557,1.0229
0x50,9,38,48.636,0.865,0.043,-0.0557,1.0229
0x50,9,38,48.661,0.89,-0.0186,-0.0977,1.0015
0x50,9,38,48.669,0.898,-0.0186,-0.0977,1.0015
0x50,9,38,48.669,0.898,-0.0283,-0.1147,0.9717
0x50,9,38,48.674,0.903,-0.0283,-0.1147,0.9717
0x50,9,38,48.677,0.906,-0.0273,-0.0747,0.9683
0x50,9,38,48.68,0.909,-0.0273,-0.0747,0.9683
0x50,9,38,48.682,0.911,-0.0244,-0.0396,1.0059
0x50,9,38,48.685,0.914,-0.0244,-0.0396,1.0059
0x50,9,38,48.703,0.932,-0.0098,-0.0034,1.0103
0x50,9,38,48.706,0.935,-0.0098,-0.0034,1.0103
0x50,9,38,48.706,0.935,-0.019,0.0459,1.022
0x50,9,38,48.719,0.948,-0.019,0.0459,1.022
0x50,9,38,48.729,0.958,-0.0327,0.0552,1.0376
0x50,9,38,48.74,0.969,-0.0327,0.0552,1.0376
0x50,9,38,48.751,0.98,-0.0728,0.084,0.9863
0x50,9,38,48.791,1.02,-0.0728,0.084,0.9863
0x50,9,38,48.791,1.02,-0.0952,0.0688,0.9893
0x50,9,38,48.791,1.02,-0.0952,0.0688,0.9893
0x50,9,38,48.791,1.02,-0.1021,0.0635,1.0439
0x50,9,38,48.798,1.027,-0.1021,0.0635,1.0439
0x50,9,38,48.808,1.037,-0.0435,0.0474,1.0415
0x50,9,38,48.821,1.05,-0.0435,0.0474,1.0415
0x50,9,38,48.824,1.053,0.0229,0.0322,0.9844
0x50,9,38,48.84,1.069,0.0229,0.0322,0.9844
0x50,9,38,48.846,1.075,0.064,0.0127,0.9712
0x50,9,38,48.861,1.09,0.064,0.0127,0.9712
